BTC-GBP,Bitcoin GBP,38650.29,-2836.56,-6.84%,721.365B,55.803B,55.803B,55.803B,18.664M,nan,nan
ETH-GBP,Ethereum GBP,1175.81,-83.66,-6.64%,135.446B,28.215B,28.215B,28.215B,115.194M,nan,nan
USDT-GBP,Tether GBP,0.7293,-0.0039,-0.53%,29.381B,74.299B,74.299B,74.299B,40.289B,nan,nan
BNB-GBP,BinanceCoin GBP,179.24,-13.28,-6.90%,27.699B,1.676B,1.676B,1.676B,154.533M,nan,nan
ADA-GBP,Cardano GBP,0.819,-0.0302,-3.55%,26.165B,3.336B,3.336B,3.336B,31.948B,nan,nan
DOT1-GBP,Polkadot GBP,22.43,-3.8,-14.48%,20.7B,2.725B,2.725B,2.725B,923.051M,nan,nan
XRP-GBP,XRP GBP,0.3718,-0.0366,-8.95%,16.882B,4.641B,4.641B,4.641B,45.404B,nan,nan
THETA-GBP,THETA GBP,8.999461,-1.449715,-13.87%,8.999B,1.633B,1.633B,1.633B,1B,nan,nan
LTC-GBP,Litecoin GBP,129.02,-14.35,-10.01%,8.61B,2.65B,2.65B,2.65B,66.729M,nan,nan
LINK-GBP,Chainlink GBP,18.64,-1.61,-7.94%,7.727B,1.099B,1.099B,1.099B,414.51M,nan,nan
