BTC-GBP,Bitcoin GBP,43039.3,"+2,924.29",+7.29%,802.801B,43.199B,43.199B,43.199B,18.653M,nan,nan
ETH-GBP,Ethereum GBP,1355.79,+96.89,+7.70%,155.961B,17.386B,17.386B,17.386B,115.033M,nan,nan
BNB-GBP,BinanceCoin GBP,199.44,+10.62,+5.63%,30.819B,2.426B,2.426B,2.426B,154.533M,nan,nan
USDT-GBP,Tether GBP,0.7186,-0.0032,-0.44%,27.473B,74.727B,74.727B,74.727B,38.231B,nan,nan
ADA-GBP,Cardano GBP,0.8131,+0.0572,+7.57%,25.979B,4.304B,4.304B,4.304B,31.948B,nan,nan
DOT1-GBP,Polkadot GBP,26.92,+1.56,+6.17%,24.761B,1.589B,1.589B,1.589B,919.675M,nan,nan
XRP-GBP,XRP GBP,0.3296,+0.0150,+4.76%,14.963B,2.396B,2.396B,2.396B,45.404B,nan,nan
LTC-GBP,Litecoin GBP,162.87,+15.72,+10.68%,10.854B,5.101B,5.101B,5.101B,66.644M,nan,nan
LINK-GBP,Chainlink GBP,21.62,+1.28,+6.28%,8.928B,1.242B,1.242B,1.242B,413.01M,nan,nan
BCH-GBP,BitcoinCash GBP,421.03,+45.95,+12.25%,7.864B,3.099B,3.099B,3.099B,18.678M,nan,nan
