BTC-GBP,Bitcoin GBP,40882.95,-2604.56,-5.99%,762.666B,47.652B,47.652B,47.652B,18.655M,nan,nan
ETH-GBP,Ethereum GBP,1290.87,-63.63,-4.70%,148.533B,18.654B,18.654B,18.654B,115.064M,nan,nan
BNB-GBP,BinanceCoin GBP,185.7,-8.54,-4.40%,28.697B,1.835B,1.835B,1.835B,154.533M,nan,nan
USDT-GBP,Tether GBP,0.7201,-0.0027,-0.37%,27.734B,79.573B,79.573B,79.573B,38.516B,nan,nan
ADA-GBP,Cardano GBP,0.7562,-0.0274,-3.50%,24.16B,3.17B,3.17B,3.17B,31.948B,nan,nan
DOT1-GBP,Polkadot GBP,25.18,-1.55,-5.81%,23.184B,2.078B,2.078B,2.078B,920.561M,nan,nan
XRP-GBP,XRP GBP,0.3186,-0.005,-1.56%,14.466B,2.265B,2.265B,2.265B,45.404B,nan,nan
LTC-GBP,Litecoin GBP,146.21,-12.35,-7.79%,9.746B,4.346B,4.346B,4.346B,66.661M,nan,nan
LINK-GBP,Chainlink GBP,19.88,-1.36,-6.42%,8.21B,1.096B,1.096B,1.096B,413.01M,nan,nan
BCH-GBP,BitcoinCash GBP,381.64,-30.28,-7.35%,7.129B,2.82B,2.82B,2.82B,18.68M,nan,nan
