BTC-GBP,Bitcoin GBP,40059.35,-603.42,-1.48%,747.787B,35.862B,35.862B,35.862B,18.667M,nan,nan
ETH-GBP,Ethereum GBP,1215.66,-28.67,-2.30%,140.09B,12.203B,12.203B,12.203B,115.238M,nan,nan
BNB-GBP,BinanceCoin GBP,192.11,-0.11,-0.06%,29.687B,1.958B,1.958B,1.958B,154.533M,nan,nan
USDT-GBP,Tether GBP,0.7258,-0.0029,-0.39%,29.376B,51.694B,51.694B,51.694B,40.476B,nan,nan
ADA-GBP,Cardano GBP,0.8541,-0.0069,-0.80%,27.286B,1.808B,1.808B,1.808B,31.948B,nan,nan
DOT1-GBP,Polkadot GBP,22.97,-0.52,-2.22%,21.223B,881.4M,881.4M,881.4M,923.97M,nan,nan
XRP-GBP,XRP GBP,0.3966,-0.0101,-2.49%,18.009B,2.179B,2.179B,2.179B,45.404B,nan,nan
THETA-GBP,THETA GBP,9.191856,0.531288,+6.13%,9.192B,508.74M,508.74M,508.74M,1B,nan,nan
LTC-GBP,Litecoin GBP,132.26,-1.61,-1.21%,8.828B,1.621B,1.621B,1.621B,66.752M,nan,nan
LINK-GBP,Chainlink GBP,19.08,-0.4,-2.06%,7.936B,587.959M,587.959M,587.959M,416.01M,nan,nan
