BTC-GBP,Bitcoin GBP,43426.14,181.62,+0.42%,810.055B,36.785B,36.785B,36.785B,18.654M,nan,nan
ETH-GBP,Ethereum GBP,1352.78,2.67,+0.20%,155.631B,16.072B,16.072B,16.072B,115.046M,nan,nan
BNB-GBP,BinanceCoin GBP,194.57,-7.49,-3.70%,30.068B,1.693B,1.693B,1.693B,154.533M,nan,nan
USDT-GBP,Tether GBP,0.7184,-0.0039,-0.54%,27.474B,68.287B,68.287B,68.287B,38.244B,nan,nan
ADA-GBP,Cardano GBP,0.7811,-0.0337,-4.14%,24.955B,3.269B,3.269B,3.269B,31.948B,nan,nan
DOT1-GBP,Polkadot GBP,26.67,-0.56,-2.07%,24.538B,1.375B,1.375B,1.375B,920.177M,nan,nan
XRP-GBP,XRP GBP,0.3223,-0.0066,-2.00%,14.634B,2.051B,2.051B,2.051B,45.404B,nan,nan
LTC-GBP,Litecoin GBP,158.34,-4.43,-2.72%,10.554B,4.022B,4.022B,4.022B,66.651M,nan,nan
LINK-GBP,Chainlink GBP,21.04,-0.51,-2.35%,8.689B,897.319M,897.319M,897.319M,413.01M,nan,nan
BCH-GBP,BitcoinCash GBP,417.36,9.15,+2.24%,7.796B,3.239B,3.239B,3.239B,18.679M,nan,nan
