BTC-GBP,Bitcoin GBP,42103.96,"+1,212.64",+2.97%,786.385B,38.786B,38.786B,38.786B,18.677M,nan,nan
ETH-GBP,Ethereum GBP,1504.3,+62.35,+4.32%,173.58B,19.567B,19.567B,19.567B,115.389M,nan,nan
BNB-GBP,BinanceCoin GBP,303.63,+33.39,+12.36%,46.92B,3.262B,3.262B,3.262B,154.533M,nan,nan
XRP-GBP,XRP GBP,0.7374,+0.0720,+10.82%,33.48B,8.589B,8.589B,8.589B,45.404B,nan,nan
USDT-GBP,Tether GBP,0.729,-0.0031,-0.43%,31.814B,73.215B,73.215B,73.215B,43.64B,nan,nan
ADA-GBP,Cardano GBP,0.8822,+0.0205,+2.38%,28.185B,1.717B,1.717B,1.717B,31.948B,nan,nan
DOT1-GBP,Polkadot GBP,29.79,+1.55,+5.51%,27.606B,1.432B,1.432B,1.432B,926.781M,nan,nan
LTC-GBP,Litecoin GBP,162.86,+3.32,+2.08%,10.871B,3.31B,3.31B,3.31B,66.752M,nan,nan
LINK-GBP,Chainlink GBP,23.46,+1.01,+4.50%,9.796B,900.376M,900.376M,900.376M,417.51M,nan,nan
THETA-GBP,THETA GBP,9.535243,+0.742654,+8.45%,9.535B,404.991M,404.991M,404.991M,1B,nan,nan
