BTC-GBP,Bitcoin GBP,43070.58,658.48,+1.55%,804.082B,40.547B,40.547B,40.547B,18.669M,nan,nan
ETH-GBP,Ethereum GBP,1345.82,5.22,+0.39%,155.127B,16.582B,16.582B,16.582B,115.266M,nan,nan
BNB-GBP,BinanceCoin GBP,219.6,18.82,+9.37%,33.936B,2.524B,2.524B,2.524B,154.533M,nan,nan
USDT-GBP,Tether GBP,0.7292,-0.0028,-0.38%,29.637B,60.063B,60.063B,60.063B,40.645B,nan,nan
ADA-GBP,Cardano GBP,0.8887,0.005,+0.57%,28.392B,1.763B,1.763B,1.763B,31.948B,nan,nan
DOT1-GBP,Polkadot GBP,24.98,-0.26,-1.02%,23.089B,896.177M,896.177M,896.177M,924.485M,nan,nan
XRP-GBP,XRP GBP,0.4151,-0.0006,-0.13%,18.846B,2.859B,2.859B,2.859B,45.404B,nan,nan
LTC-GBP,Litecoin GBP,143.8,0.53,+0.37%,9.599B,2.603B,2.603B,2.603B,66.752M,nan,nan
THETA-GBP,THETA GBP,9.358309,-0.313218,-3.24%,9.358B,323.989M,323.989M,323.989M,1B,nan,nan
LINK-GBP,Chainlink GBP,20.54,-0.19,-0.92%,8.544B,663.549M,663.549M,663.549M,416.01M,nan,nan
