BTC-GBP,Bitcoin GBP,43062.84,160.95,+0.38%,804.058B,41.427B,41.427B,41.427B,18.672M,nan,nan
ETH-GBP,Ethereum GBP,1491.97,65.28,+4.58%,172.033B,23.798B,23.798B,23.798B,115.306M,nan,nan
BNB-GBP,BinanceCoin GBP,245.26,7.57,+3.19%,37.9B,2.964B,2.964B,2.964B,154.533M,nan,nan
USDT-GBP,Tether GBP,0.7238,-0.0034,-0.47%,30.169B,74.45B,74.45B,74.45B,41.684B,nan,nan
ADA-GBP,Cardano GBP,0.8757,0.0042,+0.48%,27.976B,2.03B,2.03B,2.03B,31.948B,nan,nan
DOT1-GBP,Polkadot GBP,28.79,1.27,+4.60%,26.638B,1.924B,1.924B,1.924B,925.363M,nan,nan
XRP-GBP,XRP GBP,0.4324,0.0161,+3.88%,19.631B,3.537B,3.537B,3.537B,45.404B,nan,nan
LTC-GBP,Litecoin GBP,150.49,2.23,+1.50%,10.046B,2.852B,2.852B,2.852B,66.752M,nan,nan
LINK-GBP,Chainlink GBP,22.62,0.35,+1.56%,9.443B,984.164M,984.164M,984.164M,417.51M,nan,nan
THETA-GBP,THETA GBP,8.650741,-0.026269,-0.30%,8.651B,362.518M,362.518M,362.518M,1B,nan,nan
