BTC-GBP,Bitcoin GBP,40234.46,240.23,+0.60%,750.621B,36.905B,36.905B,36.905B,18.656M,nan,nan
ETH-GBP,Ethereum GBP,1287.69,-11.52,-0.89%,148.191B,14.997B,14.997B,14.997B,115.083M,nan,nan
ADA-GBP,Cardano GBP,0.9125,0.1604,+21.33%,29.153B,7.75B,7.75B,7.75B,31.948B,nan,nan
BNB-GBP,BinanceCoin GBP,183.41,2.02,+1.11%,28.342B,1.529B,1.529B,1.529B,154.533M,nan,nan
USDT-GBP,Tether GBP,0.7201,-0.0018,-0.25%,27.865B,62.849B,62.849B,62.849B,38.696B,nan,nan
DOT1-GBP,Polkadot GBP,25.77,1.02,+4.13%,23.727B,1.532B,1.532B,1.532B,920.808M,nan,nan
XRP-GBP,XRP GBP,0.3364,-0.0192,-5.40%,15.274B,3.948B,3.948B,3.948B,45.404B,nan,nan
LTC-GBP,Litecoin GBP,145.28,-1.32,-0.90%,9.686B,3.243B,3.243B,3.243B,66.671M,nan,nan
LINK-GBP,Chainlink GBP,20.28,0.08,+0.42%,8.377B,751.992M,751.992M,751.992M,413.01M,nan,nan
BCH-GBP,BitcoinCash GBP,380.86,-7.55,-1.94%,7.115B,1.952B,1.952B,1.952B,18.682M,nan,nan
