Symbol,Name,Price,(intraday),Change,% change,Market cap,Volume in currency (since 0:00 UTC),Volume in currency (24 hrs),Total volume all currencies (24 hrs)
ETH-GBP,Ethereum GBP,1245.22,-9.37,-0.75%,143.429B,14.867B,14.867B,14.867B,115.183M
BNB-GBP,BinanceCoin GBP,191.38,0.57,+0.30%,29.575B,1.569B,1.569B,1.569B,154.533M
USDT-GBP,Tether GBP,0.7301,-0.0036,-0.49%,29.088B,61.749B,61.749B,61.749B,39.839B
ADA-GBP,Cardano GBP,0.8267,-0.0215,-2.53%,26.411B,2.573B,2.573B,2.573B,31.948B
DOT1-GBP,Polkadot GBP,25.58,-0.23,-0.90%,23.613B,1.162B,1.162B,1.162B,922.943M
XRP-GBP,XRP GBP,0.401,-0.0143,-3.43%,18.209B,3.255B,3.255B,3.255B,45.404B
LTC-GBP,Litecoin GBP,141.11,3.06,+2.22%,9.415B,2.747B,2.747B,2.747B,66.724M
THETA-GBP,THETA GBP,9.40053,-0.3483,-3.57%,9.401B,1.916B,1.916B,1.916B,1B
LINK-GBP,Chainlink GBP,19.9,-0.12,-0.59%,8.248B,693.539M,693.539M,693.539M,414.51M
