BTC-GBP,Bitcoin GBP,43147.71,145.21,+0.34%,805.559B,43.085B,43.085B,43.085B,18.67M,nan,nan
ETH-GBP,Ethereum GBP,1352.0,12.98,+0.97%,155.856B,18.121B,18.121B,18.121B,115.278M,nan,nan
BNB-GBP,BinanceCoin GBP,220.77,2.8,+1.29%,34.116B,2.792B,2.792B,2.792B,154.533M,nan,nan
USDT-GBP,Tether GBP,0.7253,-0.0036,-0.49%,29.537B,71.697B,71.697B,71.697B,40.723B,nan,nan
ADA-GBP,Cardano GBP,0.8598,-0.0271,-3.06%,27.471B,2.204B,2.204B,2.204B,31.948B,nan,nan
DOT1-GBP,Polkadot GBP,26.9,2.05,+8.27%,24.87B,2.269B,2.269B,2.269B,924.653M,nan,nan
XRP-GBP,XRP GBP,0.4043,-0.0099,-2.39%,18.355B,3.057B,3.057B,3.057B,45.404B,nan,nan
LTC-GBP,Litecoin GBP,140.51,-3.7,-2.56%,9.379B,2.271B,2.271B,2.271B,66.752M,nan,nan
THETA-GBP,THETA GBP,8.871366,-0.576504,-6.10%,8.871B,418.902M,418.902M,418.902M,1B,nan,nan
LINK-GBP,Chainlink GBP,20.15,-0.42,-2.02%,8.382B,789.723M,789.723M,789.723M,416.01M,nan,nan
