BTC-GBP,Bitcoin GBP,42223.68,180.72,+0.43%,787.844B,33.357B,33.357B,33.357B,18.659M,nan,nan
ETH-GBP,Ethereum GBP,1325.68,30.31,+2.34%,152.615B,14.974B,14.974B,14.974B,115.123M,nan,nan
BNB-GBP,BinanceCoin GBP,191.21,-1.14,-0.59%,29.548B,1.301B,1.301B,1.301B,154.533M,nan,nan
ADA-GBP,Cardano GBP,0.9151,0.0153,+1.70%,29.237B,5.337B,5.337B,5.337B,31.948B,nan,nan
USDT-GBP,Tether GBP,0.7237,-0.0016,-0.22%,28.542B,56.141B,56.141B,56.141B,39.437B,nan,nan
DOT1-GBP,Polkadot GBP,28.56,2.71,+10.49%,26.328B,2.028B,2.028B,2.028B,921.917M,nan,nan
XRP-GBP,XRP GBP,0.344,-0.0,-0.01%,15.619B,2.027B,2.027B,2.027B,45.404B,nan,nan
LTC-GBP,Litecoin GBP,146.14,-0.11,-0.07%,9.747B,1.803B,1.803B,1.803B,66.691M,nan,nan
LINK-GBP,Chainlink GBP,22.33,0.84,+3.93%,9.255B,825.094M,825.094M,825.094M,414.51M,nan,nan
BCH-GBP,BitcoinCash GBP,390.41,3.47,+0.90%,7.295B,1.417B,1.417B,1.417B,18.684M,nan,nan
