Symbol,Name,Price,(intraday),Change,% change,Market cap,Volume in currency (since 0:00 UTC),Volume in currency (24 hrs),Total volume all currencies (24 hrs)
ETH-GBP,Ethereum GBP,1749.95,-28.08,-1.58%,202.111B,27.111B,27.111B,27.111B,115.495M
BNB-GBP,BinanceCoin GBP,373.01,-26.6,-6.66%,57.232B,4.991B,4.991B,4.991B,153.433M
XRP-GBP,XRP GBP,1.1826,-0.0825,-6.52%,53.693B,15.28B,15.28B,15.28B,45.404B
USDT-GBP,Tether GBP,0.7251,-0.0036,-0.49%,33.988B,164.205B,164.205B,164.205B,46.871B
ADA-GBP,Cardano GBP,1.0246,-0.0436,-4.08%,32.735B,4.301B,4.301B,4.301B,31.948B
DOGE-GBP,Dogecoin GBP,0.2468,0.1466,+146.46%,31.883B,50.474B,50.474B,50.474B,129.21B
DOT1-GBP,Polkadot GBP,30.09,-1.0,-3.22%,27.975B,2.016B,2.016B,2.016B,929.868M
LTC-GBP,Litecoin GBP,219.18,17.9,+8.89%,14.631B,8.127B,8.127B,8.127B,66.752M
BCH-GBP,BitcoinCash GBP,765.23,156.93,+25.80%,14.318B,8.599B,8.599B,8.599B,18.711M
