Symbol,Name,Price,(intraday),Change,% change,Market cap,Volume in currency (since 0:00 UTC),Volume in currency (24 hrs),Total volume all currencies (24 hrs)
ETH-GBP,Ethereum GBP,1180.92,9.34,+0.80%,136.051B,17.529B,17.529B,17.529B,115.207M
USDT-GBP,Tether GBP,0.7266,-0.0027,-0.37%,29.229B,66.81B,66.81B,66.81B,40.226B
BNB-GBP,BinanceCoin GBP,179.88,0.89,+0.50%,27.797B,1.785B,1.785B,1.785B,154.533M
ADA-GBP,Cardano GBP,0.8595,0.0463,+5.70%,27.459B,3.977B,3.977B,3.977B,31.948B
DOT1-GBP,Polkadot GBP,22.64,0.26,+1.16%,21.008B,1.756B,1.756B,1.756B,928.026M
XRP-GBP,XRP GBP,0.3908,0.0164,+4.39%,17.744B,4.179B,4.179B,4.179B,45.404B
THETA-GBP,THETA GBP,9.232675,0.299326,+3.35%,9.233B,1.074B,1.074B,1.074B,1B
LTC-GBP,Litecoin GBP,128.61,0.25,+0.19%,8.583B,2.41B,2.41B,2.41B,66.736M
LINK-GBP,Chainlink GBP,18.74,0.31,+1.70%,7.767B,914.586M,914.586M,914.586M,414.51M
