Symbol,Name,Price,(intraday),Change,% change,Market cap,Volume in currency (since 0:00 UTC),Volume in currency (24 hrs),Total volume all currencies (24 hrs)
ETH-GBP,Ethereum GBP,1265.41,-99.95,-7.32%,145.609B,20.194B,20.194B,20.194B,115.069M
USDT-GBP,Tether GBP,0.721,-0.0029,-0.41%,27.864B,84.614B,84.614B,84.614B,38.646B
BNB-GBP,BinanceCoin GBP,178.78,-13.97,-7.25%,27.627B,1.855B,1.855B,1.855B,154.533M
ADA-GBP,Cardano GBP,0.7462,-0.0231,-3.00%,23.84B,3.552B,3.552B,3.552B,31.948B
DOT1-GBP,Polkadot GBP,24.22,-3.28,-11.93%,22.3B,2.247B,2.247B,2.247B,920.589M
XRP-GBP,XRP GBP,0.3289,0.0079,+2.46%,14.933B,2.744B,2.744B,2.744B,45.404B
LTC-GBP,Litecoin GBP,142.37,-16.82,-10.56%,9.491B,4.735B,4.735B,4.735B,66.663M
LINK-GBP,Chainlink GBP,19.78,-1.43,-6.74%,8.168B,1.167B,1.167B,1.167B,413.01M
BCH-GBP,BitcoinCash GBP,376.2,-34.04,-8.30%,7.028B,3.033B,3.033B,3.033B,18.681M
