Symbol,Name,Price,(intraday),Change,% change,Market cap,Volume in currency (since 0:00 UTC),Volume in currency (24 hrs),Total volume all currencies (24 hrs)
ETH-GBP,Ethereum GBP,2452.73,48.73,+2.03%,283.909B,35.617B,35.617B,35.617B,115.752M
BNB-GBP,BinanceCoin GBP,464.91,12.9,+2.85%,71.332B,3.128B,3.128B,3.128B,153.433M
DOGE-GBP,Dogecoin GBP,0.4509,0.0424,+10.39%,58.374B,29.634B,29.634B,29.634B,129.475B
XRP-GBP,XRP GBP,1.1205,0.1136,+11.28%,50.876B,9.149B,9.149B,9.149B,45.404B
USDT-GBP,Tether GBP,0.719,-0.0033,-0.46%,37.99B,133.813B,133.813B,133.813B,52.838B
ADA-GBP,Cardano GBP,1.0223,0.0872,+9.32%,32.662B,2.668B,2.668B,2.668B,31.948B
DOT1-GBP,Polkadot GBP,27.96,2.19,+8.49%,26.153B,2.16B,2.16B,2.16B,935.445M
BCH-GBP,BitcoinCash GBP,925.79,224.61,+32.03%,17.339B,7.612B,7.612B,7.612B,18.728M
LTC-GBP,Litecoin GBP,251.85,32.35,+14.74%,16.812B,9.263B,9.263B,9.263B,66.752M
