Symbol,Name,Price,(intraday),Change,% change,Market cap,Volume in currency (since 0:00 UTC),Volume in currency (24 hrs),Total volume all currencies (24 hrs)
ETH-GBP,Ethereum GBP,1281.5,-17.78,-1.37%,147.573B,14.279B,14.279B,14.279B,115.156M
BNB-GBP,BinanceCoin GBP,194.31,2.3,+1.20%,30.027B,1.326B,1.326B,1.326B,154.533M
USDT-GBP,Tether GBP,0.7217,-0.0029,-0.40%,28.548B,53.66B,53.66B,53.66B,39.555B
ADA-GBP,Cardano GBP,0.8497,-0.0275,-3.13%,27.147B,2.178B,2.178B,2.178B,31.948B
DOT1-GBP,Polkadot GBP,26.73,-0.15,-0.57%,24.662B,1.201B,1.201B,1.201B,922.527M
XRP-GBP,XRP GBP,0.4242,0.0554,+15.02%,19.26B,6.047B,6.047B,6.047B,45.404B
LTC-GBP,Litecoin GBP,141.16,-1.93,-1.35%,9.417B,2.043B,2.043B,2.043B,66.71M
LINK-GBP,Chainlink GBP,20.87,-0.68,-3.15%,8.651B,615.725M,615.725M,615.725M,414.51M
THETA-GBP,THETA GBP,7.738197,1.31203,+20.42%,7.738B,664.819M,664.819M,664.819M,1B
