Symbol,Name,Price,(intraday),Change,% change,Market cap,Volume in currency (since 0:00 UTC),Volume in currency (24 hrs),Total volume all currencies (24 hrs)
ETH-GBP,Ethereum GBP,1229.12,-82.59,-6.30%,141.553B,18.317B,18.317B,18.317B,115.167M
USDT-GBP,Tether GBP,0.7267,-0.0032,-0.44%,28.817B,69.521B,69.521B,69.521B,39.655B
BNB-GBP,BinanceCoin GBP,186.32,-8.35,-4.29%,28.793B,1.815B,1.815B,1.815B,154.533M
ADA-GBP,Cardano GBP,0.8218,-0.0506,-5.80%,26.255B,3.649B,3.649B,3.649B,31.948B
DOT1-GBP,Polkadot GBP,25.4,-2.0,-7.30%,23.436B,1.435B,1.435B,1.435B,922.632M
XRP-GBP,XRP GBP,0.4141,0.0034,+0.83%,18.804B,8.177B,8.177B,8.177B,45.404B
LTC-GBP,Litecoin GBP,134.59,-8.73,-6.09%,8.979B,2.358B,2.358B,2.358B,66.716M
THETA-GBP,THETA GBP,8.390127,0.908723,+12.15%,8.39B,1.001B,1.001B,1.001B,1B
LINK-GBP,Chainlink GBP,19.63,-1.67,-7.83%,8.136B,924.566M,924.566M,924.566M,414.51M
