Symbol,Name,Price,(intraday),Change,% change,Market cap,Volume in currency (since 0:00 UTC),Volume in currency (24 hrs),Total volume all currencies (24 hrs)
ETH-GBP,Ethereum GBP,1290.87,-63.63,-4.70%,148.533B,18.654B,18.654B,18.654B,115.064M
BNB-GBP,BinanceCoin GBP,185.7,-8.54,-4.40%,28.697B,1.835B,1.835B,1.835B,154.533M
USDT-GBP,Tether GBP,0.7201,-0.0027,-0.37%,27.734B,79.573B,79.573B,79.573B,38.516B
ADA-GBP,Cardano GBP,0.7562,-0.0274,-3.50%,24.16B,3.17B,3.17B,3.17B,31.948B
DOT1-GBP,Polkadot GBP,25.18,-1.55,-5.81%,23.184B,2.078B,2.078B,2.078B,920.561M
XRP-GBP,XRP GBP,0.3186,-0.005,-1.56%,14.466B,2.265B,2.265B,2.265B,45.404B
LTC-GBP,Litecoin GBP,146.21,-12.35,-7.79%,9.746B,4.346B,4.346B,4.346B,66.661M
LINK-GBP,Chainlink GBP,19.88,-1.36,-6.42%,8.21B,1.096B,1.096B,1.096B,413.01M
BCH-GBP,BitcoinCash GBP,381.64,-30.28,-7.35%,7.129B,2.82B,2.82B,2.82B,18.68M
