Symbol,Name,Price,(intraday),Change,% change,Market cap,Volume in currency (since 0:00 UTC),Volume in currency (24 hrs),Total volume all currencies (24 hrs)
ETH-GBP,Ethereum GBP,1233.36,42.72,+3.59%,142.108B,14.397B,14.397B,14.397B,115.221M
USDT-GBP,Tether GBP,0.7264,-0.0034,-0.47%,29.174B,57.387B,57.387B,57.387B,40.161B
BNB-GBP,BinanceCoin GBP,187.81,7.89,+4.38%,29.023B,1.515B,1.515B,1.515B,154.533M
ADA-GBP,Cardano GBP,0.8701,0.0297,+3.53%,27.798B,4.126B,4.126B,4.126B,31.948B
DOT1-GBP,Polkadot GBP,23.71,0.88,+3.85%,21.898B,1.204B,1.204B,1.204B,923.665M
XRP-GBP,XRP GBP,0.404,0.011,+2.80%,18.343B,3.69B,3.69B,3.69B,45.404B
LTC-GBP,Litecoin GBP,133.45,3.75,+2.89%,8.907B,2.005B,2.005B,2.005B,66.742M
THETA-GBP,THETA GBP,8.840415,-0.496318,-5.32%,8.84B,535.706M,535.706M,535.706M,1B
LINK-GBP,Chainlink GBP,19.52,0.69,+3.67%,8.119B,726.655M,726.655M,726.655M,416.01M
