Symbol,Name,Price,(intraday),Change,% change,Market cap,Volume in currency (since 0:00 UTC),Volume in currency (24 hrs),Total volume all currencies (24 hrs)
ETH-GBP,Ethereum GBP,1547.89,-3.41,-0.22%,178.837B,24.342B,24.342B,24.342B,115.536M
BNB-GBP,BinanceCoin GBP,362.76,22.83,+6.72%,55.659B,4.993B,4.993B,4.993B,153.433M
XRP-GBP,XRP GBP,0.9752,0.0294,+3.11%,44.277B,13.371B,13.371B,13.371B,45.404B
DOGE-GBP,Dogecoin GBP,0.2797,0.0552,+24.57%,36.153B,22.867B,22.867B,22.867B,129.252B
USDT-GBP,Tether GBP,0.715,-0.0033,-0.46%,34.422B,125.703B,125.703B,125.703B,48.146B
ADA-GBP,Cardano GBP,0.8771,-0.0189,-2.11%,28.021B,4.075B,4.075B,4.075B,31.948B
DOT1-GBP,Polkadot GBP,25.44,-0.92,-3.49%,23.69B,2.165B,2.165B,2.165B,931.137M
LTC-GBP,Litecoin GBP,189.78,-0.87,-0.46%,12.668B,6.707B,6.707B,6.707B,66.752M
BCH-GBP,BitcoinCash GBP,663.23,4.87,+0.74%,12.411B,6.139B,6.139B,6.139B,18.713M
