Symbol,Name,Price,(intraday),Change,% change,Market cap,Volume in currency (since 0:00 UTC),Volume in currency (24 hrs),Total volume all currencies (24 hrs)
ETH-GBP,Ethereum GBP,1215.66,-28.67,-2.30%,140.09B,12.203B,12.203B,12.203B,115.238M
BNB-GBP,BinanceCoin GBP,192.11,-0.11,-0.06%,29.687B,1.958B,1.958B,1.958B,154.533M
USDT-GBP,Tether GBP,0.7258,-0.0029,-0.39%,29.376B,51.694B,51.694B,51.694B,40.476B
ADA-GBP,Cardano GBP,0.8541,-0.0069,-0.80%,27.286B,1.808B,1.808B,1.808B,31.948B
DOT1-GBP,Polkadot GBP,22.97,-0.52,-2.22%,21.223B,881.4M,881.4M,881.4M,923.97M
XRP-GBP,XRP GBP,0.3966,-0.0101,-2.49%,18.009B,2.179B,2.179B,2.179B,45.404B
THETA-GBP,THETA GBP,9.191856,0.531288,+6.13%,9.192B,508.74M,508.74M,508.74M,1B
LTC-GBP,Litecoin GBP,132.26,-1.61,-1.21%,8.828B,1.621B,1.621B,1.621B,66.752M
LINK-GBP,Chainlink GBP,19.08,-0.4,-2.06%,7.936B,587.959M,587.959M,587.959M,416.01M
