BTC-GBP,Bitcoin GBP,42590.41,-661.5,-1.53%,795.268B,41.241B,41.241B,41.241B,18.672M,nan,nan
ETH-GBP,Ethereum GBP,1496.16,-2.18,-0.15%,172.535B,23.076B,23.076B,23.076B,115.319M,nan,nan
BNB-GBP,BinanceCoin GBP,242.33,-5.67,-2.29%,37.449B,2.193B,2.193B,2.193B,154.533M,nan,nan
USDT-GBP,Tether GBP,0.7248,-0.0022,-0.31%,30.664B,75.748B,75.748B,75.748B,42.31B,nan,nan
DOT1-GBP,Polkadot GBP,31.87,3.34,+11.69%,29.499B,3.64B,3.64B,3.64B,925.617M,nan,nan
ADA-GBP,Cardano GBP,0.8693,-0.0103,-1.17%,27.773B,2.345B,2.345B,2.345B,31.948B,nan,nan
XRP-GBP,XRP GBP,0.4431,0.0058,+1.34%,20.118B,4.827B,4.827B,4.827B,45.404B,nan,nan
LTC-GBP,Litecoin GBP,149.02,-2.61,-1.72%,9.948B,2.805B,2.805B,2.805B,66.752M,nan,nan
LINK-GBP,Chainlink GBP,22.4,-0.46,-2.01%,9.354B,1.284B,1.284B,1.284B,417.51M,nan,nan
THETA-GBP,THETA GBP,8.6006,-0.0603,-0.70%,8.601B,341.714M,341.714M,341.714M,1B,nan,nan
