BTC-GBP,Bitcoin GBP,42650.38,336.37,+0.79%,796.628B,35.139B,35.139B,35.139B,18.678M,nan,nan
ETH-GBP,Ethereum GBP,1515.52,7.92,+0.53%,174.895B,14.919B,14.919B,14.919B,115.402M,nan,nan
BNB-GBP,BinanceCoin GBP,324.5,21.49,+7.09%,50.145B,3.287B,3.287B,3.287B,154.533M,nan,nan
XRP-GBP,XRP GBP,0.7798,0.0329,+4.40%,35.404B,8.016B,8.016B,8.016B,45.404B,nan,nan
USDT-GBP,Tether GBP,0.7301,-0.0035,-0.48%,31.975B,64.165B,64.165B,64.165B,43.794B,nan,nan
ADA-GBP,Cardano GBP,0.8813,-0.0025,-0.29%,28.155B,1.262B,1.262B,1.262B,31.948B,nan,nan
DOT1-GBP,Polkadot GBP,29.77,-0.06,-0.19%,27.619B,988.035M,988.035M,988.035M,927.735M,nan,nan
LTC-GBP,Litecoin GBP,163.87,-0.27,-0.16%,10.939B,2.34B,2.34B,2.34B,66.752M,nan,nan
LINK-GBP,Chainlink GBP,23.17,-0.37,-1.56%,9.709B,772.14M,772.14M,772.14M,419.01M,nan,nan
THETA-GBP,THETA GBP,9.383157,-0.128698,-1.35%,9.383B,229.344M,229.344M,229.344M,1B,nan,nan
