Symbol,Name,Price,(intraday),Change,% change,Market cap,Volume in currency (since 0:00 UTC),Volume in currency (24 hrs),Total volume all currencies (24 hrs)
ETH-GBP,Ethereum GBP,1513.75,14.78,+0.99%,174.586B,21.651B,21.651B,21.651B,115.333M
BNB-GBP,BinanceCoin GBP,254.21,10.48,+4.30%,39.284B,2.359B,2.359B,2.359B,154.533M
USDT-GBP,Tether GBP,0.7242,-0.0033,-0.46%,30.677B,76.401B,76.401B,76.401B,42.36B
DOT1-GBP,Polkadot GBP,31.83,-0.06,-0.20%,29.466B,2.663B,2.663B,2.663B,925.833M
ADA-GBP,Cardano GBP,0.866,-0.0095,-1.08%,27.668B,1.748B,1.748B,1.748B,31.948B
XRP-GBP,XRP GBP,0.4501,0.0059,+1.34%,20.434B,3.454B,3.454B,3.454B,45.404B
LTC-GBP,Litecoin GBP,148.43,-1.4,-0.94%,9.908B,2.416B,2.416B,2.416B,66.752M
LINK-GBP,Chainlink GBP,22.69,0.24,+1.07%,9.474B,950.966M,950.966M,950.966M,417.51M
THETA-GBP,THETA GBP,8.517244,-0.079035,-0.92%,8.517B,209.331M,209.331M,209.331M,1B
