Symbol,Name,Price,(intraday),Change,% change,Market cap,Volume in currency (since 0:00 UTC),Volume in currency (24 hrs),Total volume all currencies (24 hrs)
ETH-GBP,Ethereum GBP,1432.13,81.52,+6.04%,165.114B,23.253B,23.253B,23.253B,115.293M
BNB-GBP,BinanceCoin GBP,238.32,17.24,+7.80%,36.828B,2.487B,2.487B,2.487B,154.533M
USDT-GBP,Tether GBP,0.7237,-0.0028,-0.39%,29.473B,81.339B,81.339B,81.339B,40.723B
ADA-GBP,Cardano GBP,0.8639,0.0032,+0.37%,27.601B,1.813B,1.813B,1.813B,31.948B
DOT1-GBP,Polkadot GBP,27.37,0.33,+1.23%,25.321B,2.21B,2.21B,2.21B,925.019M
XRP-GBP,XRP GBP,0.4142,0.0088,+2.16%,18.807B,3.635B,3.635B,3.635B,45.404B
LTC-GBP,Litecoin GBP,146.2,5.64,+4.01%,9.759B,2.832B,2.832B,2.832B,66.752M
LINK-GBP,Chainlink GBP,22.04,2.01,+10.01%,9.168B,1.438B,1.438B,1.438B,416.01M
THETA-GBP,THETA GBP,8.508512,-0.362497,-4.09%,8.509B,414.034M,414.034M,414.034M,1B
