Symbol,Name,Price,(intraday),Change,% change,Market cap,Volume in currency (since 0:00 UTC),Volume in currency (24 hrs),Total volume all currencies (24 hrs)
ETH-GBP,Ethereum GBP,1727.73,-42.38,-2.39%,199.568B,23.047B,23.047B,23.047B,115.509M
BNB-GBP,BinanceCoin GBP,376.63,-1.78,-0.47%,57.788B,3.743B,3.743B,3.743B,153.433M
XRP-GBP,XRP GBP,1.1509,-0.0724,-5.92%,52.253B,11.437B,11.437B,11.437B,45.404B
USDT-GBP,Tether GBP,0.7298,0.002,+0.28%,34.889B,136.448B,136.448B,136.448B,47.804B
ADA-GBP,Cardano GBP,1.013,-0.0288,-2.76%,32.365B,3.04B,3.04B,3.04B,31.948B
DOT1-GBP,Polkadot GBP,31.86,1.28,+4.18%,29.652B,3.287B,3.287B,3.287B,930.727M
DOGE-GBP,Dogecoin GBP,0.1992,-0.0692,-25.78%,25.744B,24.474B,24.474B,24.474B,129.224B
LTC-GBP,Litecoin GBP,225.66,0.93,+0.41%,15.063B,9.94B,9.94B,9.94B,66.752M
BCH-GBP,BitcoinCash GBP,756.08,-51.27,-6.35%,14.148B,8.952B,8.952B,8.952B,18.712M
