BTC-GBP,Bitcoin GBP,42278.15,-999.27,-2.31%,789.556B,48.159B,48.159B,48.159B,18.675M,nan,nan
ETH-GBP,Ethereum GBP,1541.93,1.32,+0.09%,177.877B,21.759B,21.759B,21.759B,115.36M,nan,nan
BNB-GBP,BinanceCoin GBP,284.1,13.53,+5.00%,43.902B,3.482B,3.482B,3.482B,154.533M,nan,nan
XRP-GBP,XRP GBP,0.7108,0.1005,+16.47%,32.272B,25.448B,25.448B,25.448B,45.404B,nan,nan
USDT-GBP,Tether GBP,0.7249,-0.002,-0.28%,31.163B,106.647B,106.647B,106.647B,42.991B,nan,nan
ADA-GBP,Cardano GBP,0.922,0.0389,+4.41%,29.456B,4.404B,4.404B,4.404B,31.948B,nan,nan
DOT1-GBP,Polkadot GBP,31.09,-0.88,-2.77%,28.8B,2.277B,2.277B,2.277B,926.219M,nan,nan
LTC-GBP,Litecoin GBP,175.68,17.12,+10.80%,11.727B,6.601B,6.601B,6.601B,66.752M,nan,nan
LINK-GBP,Chainlink GBP,24.48,1.29,+5.56%,10.22B,1.926B,1.926B,1.926B,417.51M,nan,nan
BCH-GBP,BitcoinCash GBP,477.18,24.58,+5.43%,8.924B,4.089B,4.089B,4.089B,18.701M,nan,nan
