Symbol,Name,Price,(intraday),Change,% change,Market cap,Volume in currency (since 0:00 UTC),Volume in currency (24 hrs),Total volume all currencies (24 hrs)
ETH-GBP,Ethereum GBP,1627.99,-21.67,-1.31%,188.225B,20.846B,20.846B,20.846B,115.618M
BNB-GBP,BinanceCoin GBP,357.36,-10.1,-2.75%,54.83B,2.073B,2.073B,2.073B,153.433M
USDT-GBP,Tether GBP,0.7207,-0.0034,-0.48%,36.008B,57.286B,57.286B,57.286B,49.965B
XRP-GBP,XRP GBP,0.7596,-0.0263,-3.35%,34.49B,5.174B,5.174B,5.174B,45.404B
ADA-GBP,Cardano GBP,0.7955,-0.024,-2.93%,25.416B,1.487B,1.487B,1.487B,31.948B
DOGE-GBP,Dogecoin GBP,0.18,-0.0217,-10.74%,23.285B,4.054B,4.054B,4.054B,129.335B
DOT1-GBP,Polkadot GBP,21.3,-0.57,-2.61%,19.867B,1.095B,1.095B,1.095B,932.748M
UNI3-GBP,Uniswap GBP,23.74,1.37,+6.12%,12.426B,651.996M,651.996M,651.996M,523.384M
LTC-GBP,Litecoin GBP,160.72,-5.53,-3.33%,10.728B,2.41B,2.41B,2.41B,66.752M
