Symbol,Name,Price,(intraday),Change,% change,Market cap,Volume in currency (since 0:00 UTC),Volume in currency (24 hrs),Total volume all currencies (24 hrs)
ETH-GBP,Ethereum GBP,1310.58,-7.66,-0.58%,150.87B,16.025B,16.025B,16.025B,115.117M
ADA-GBP,Cardano GBP,0.9353,-0.0526,-5.32%,29.882B,6.005B,6.005B,6.005B,31.948B
BNB-GBP,BinanceCoin GBP,191.25,-2.63,-1.36%,29.554B,1.391B,1.391B,1.391B,154.533M
USDT-GBP,Tether GBP,0.7214,-0.0029,-0.40%,28.284B,58.121B,58.121B,58.121B,39.208B
DOT1-GBP,Polkadot GBP,27.45,1.02,+3.86%,25.305B,1.706B,1.706B,1.706B,921.783M
XRP-GBP,XRP GBP,0.3393,-0.011,-3.14%,15.407B,1.985B,1.985B,1.985B,45.404B
LTC-GBP,Litecoin GBP,145.02,-3.69,-2.48%,9.671B,2.05B,2.05B,2.05B,66.688M
LINK-GBP,Chainlink GBP,21.68,-0.0,-0.02%,8.985B,817.585M,817.585M,817.585M,414.51M
BCH-GBP,BitcoinCash GBP,389.07,-1.36,-0.35%,7.269B,1.723B,1.723B,1.723B,18.684M
