BTC-GBP,Bitcoin GBP,42392.47,40.79,+0.10%,791.654B,40.132B,40.132B,40.132B,18.674M,nan,nan
ETH-GBP,Ethereum GBP,1510.88,-0.88,-0.06%,174.275B,19.575B,19.575B,19.575B,115.347M,nan,nan
BNB-GBP,BinanceCoin GBP,267.64,13.27,+5.22%,41.36B,2.987B,2.987B,2.987B,154.533M,nan,nan
USDT-GBP,Tether GBP,0.7194,-0.0046,-0.63%,30.486B,87.487B,87.487B,87.487B,42.38B,nan,nan
DOT1-GBP,Polkadot GBP,31.64,-0.08,-0.26%,29.294B,1.952B,1.952B,1.952B,925.991M,nan,nan
XRP-GBP,XRP GBP,0.6102,0.1642,+36.80%,27.707B,13.81B,13.81B,13.81B,45.404B,nan,nan
ADA-GBP,Cardano GBP,0.8647,-0.0001,-0.01%,27.626B,1.939B,1.939B,1.939B,31.948B,nan,nan
LTC-GBP,Litecoin GBP,158.55,10.59,+7.16%,10.583B,2.902B,2.902B,2.902B,66.752M,nan,nan
LINK-GBP,Chainlink GBP,22.75,-0.02,-0.10%,9.496B,896.599M,896.599M,896.599M,417.51M,nan,nan
THETA-GBP,THETA GBP,8.403932,-0.086381,-1.02%,8.404B,220.063M,220.063M,220.063M,1B,nan,nan
