BTC-GBP,Bitcoin GBP,43688.03,989.62,+2.32%,816.05B,40.267B,40.267B,40.267B,18.679M,nan,nan
ETH-GBP,Ethereum GBP,1558.77,38.65,+2.54%,179.904B,17.318B,17.318B,17.318B,115.414M,nan,nan
BNB-GBP,BinanceCoin GBP,338.47,13.08,+4.02%,52.305B,4.414B,4.414B,4.414B,154.533M,nan,nan
XRP-GBP,XRP GBP,0.903,0.1536,+20.49%,41.001B,15.691B,15.691B,15.691B,45.404B,nan,nan
USDT-GBP,Tether GBP,0.7292,-0.0044,-0.61%,32.357B,76.247B,76.247B,76.247B,44.376B,nan,nan
ADA-GBP,Cardano GBP,0.8857,0.0034,+0.38%,28.298B,1.728B,1.728B,1.728B,31.948B,nan,nan
DOT1-GBP,Polkadot GBP,29.8,0.08,+0.28%,27.651B,1.124B,1.124B,1.124B,927.932M,nan,nan
LTC-GBP,Litecoin GBP,181.08,16.41,+9.96%,12.087B,3.674B,3.674B,3.674B,66.752M,nan,nan
LINK-GBP,Chainlink GBP,23.17,-0.15,-0.66%,9.708B,761.613M,761.613M,761.613M,419.01M,nan,nan
BCH-GBP,BitcoinCash GBP,489.26,19.88,+4.24%,9.151B,2.214B,2.214B,2.214B,18.704M,nan,nan
