Symbol,Name,Price,(intraday),Change,% change,Market cap,Volume in currency (since 0:00 UTC),Volume in currency (24 hrs),Total volume all currencies (24 hrs)
ETH-GBP,Ethereum GBP,1647.04,110.59,+7.20%,190.315B,27.254B,27.254B,27.254B,115.549M
BNB-GBP,BinanceCoin GBP,404.78,46.89,+13.10%,62.106B,5.497B,5.497B,5.497B,153.433M
XRP-GBP,XRP GBP,0.9831,0.0268,+2.80%,44.635B,10.81B,10.81B,10.81B,45.404B
USDT-GBP,Tether GBP,0.7177,-0.0031,-0.44%,34.943B,119.23B,119.23B,119.23B,48.69B
DOGE-GBP,Dogecoin GBP,0.2485,-0.0309,-11.07%,32.117B,18.559B,18.559B,18.559B,129.266B
ADA-GBP,Cardano GBP,0.8729,0.0047,+0.54%,27.888B,3.278B,3.278B,3.278B,31.948B
DOT1-GBP,Polkadot GBP,25.1,-0.22,-0.88%,23.376B,2.261B,2.261B,2.261B,931.493M
LTC-GBP,Litecoin GBP,193.27,7.35,+3.96%,12.901B,6.946B,6.946B,6.946B,66.752M
BCH-GBP,BitcoinCash GBP,679.21,25.78,+3.95%,12.711B,5.761B,5.761B,5.761B,18.714M
